Statistic,Player,Team,Value,Rank,Year
Base on Balls,Dummy Hoy,Chicago,86.0,,1901
Batting Average,Nap Lajoie,Philadelphia,0.426,,1901
Doubles,Nap Lajoie,Philadelphia,48.0,,1901
Hits,Nap Lajoie,Philadelphia,232.0,,1901
Home Runs,Nap Lajoie,Philadelphia,14.0,,1901
On Base Percentage,Nap Lajoie,Philadelphia,0.463,,1901
RBI,Nap Lajoie,Philadelphia,125.0,,1901
Runs,Nap Lajoie,Philadelphia,145.0,,1901
Slugging Average,Nap Lajoie,Philadelphia,0.643,,1901
Stolen Bases,Frank Isbell,Chicago,52.0,,1901
Total Bases,Nap Lajoie,Philadelphia,350.0,,1901
Triples,Bill Keister,Baltimore,21.0,,1901
Triples,Jimmy Williams,Baltimore,21.0,,1901
1901 A.L. History | 1901 N.L. History | Year-by-Year History,1901 A.L. History | 1901 N.L. History | Year-by-Year History,1901 A.L. History | 1901 N.L. History | Year-by-Year History,,,1901
Complete Games,Joe McGinnity,Baltimore,39.0,,1901
ERA,Cy Young,Boston,1.62,,1901
Games,Joe McGinnity,Baltimore,48.0,,1901
Saves,Bill Hoffer,Cleveland,3.0,,1901
Shutouts,Clark Griffith,Chicago,5.0,,1901
Shutouts,Cy Young,Boston,5.0,,1901
Strikeouts,Cy Young,Boston,158.0,,1901
Winning Percentage,Clark Griffith,Chicago,0.774,,1901
Wins,Cy Young,Boston,33.0,,1901
1901 A.L. History | 1901 N.L. History | Year-by-Year History,1901 A.L. History | 1901 N.L. History | Year-by-Year History,1901 A.L. History | 1901 N.L. History | Year-by-Year History,,,1901
1901 American League Team Standings,1901 American League Team Standings,1901 American League Team Standings,,,1901
Team | Roster,W,L,,,1901
Chicago White Sox,83,53,0.61,0.0,1901
Boston Americans,79,57,0.581,4.0,1901
Detroit Tigers,74,61,0.548,,1901
Philadelphia Athletics,74,62,0.544,9.0,1901
Baltimore Orioles,68,65,0.511,,1901
Washington Senators,61,72,0.459,,1901
Cleveland Blues,54,82,0.397,29.0,1901
Milwaukee Brewers,48,89,0.35,,1901
Team | Roster,W,L,,,1901
1901 American League Team Standings,1901 American League Team Standings,1901 American League Team Standings,,,1901
Base on Balls,Chicago,475,,,1901
Batting Average,Baltimore,.294,,,1901
Doubles,Philadelphia,239,,,1901
Hits,Philadelphia,1409,,,1901
Home Runs,Boston,37,,,1901
On Base Percentage,Baltimore,.353,,,1901
Runs,Chicago,819,,,1901
Slugging Average,Baltimore,.397,,,1901
Stolen Bases,Chicago,280,,,1901
Triples,Baltimore,111,,,1901
Complete Games,Philadelphia,124,,,1901
ERA,Chicago,2.98,,,1901
Fewest Hits Allowed,Boston,1178,,,1901
Fewest Home Runs Allowed,Philadelphia,20,,,1901
Fewest Walks Allowed,Washington,284,,,1901
Saves,Cleveland,4,,,1901
Saves,Milwaukee,4,,,1901
Shutouts,Chicago,11,,,1901
Strikeouts,Boston,396,,,1901
Base on Balls,Topsy Hartsel,Philadelphia,87.0,,1902
Batting Average,Ed Delahanty,Washington,0.376,,1902
Doubles,Harry Davis,Philadelphia,43.0,,1902
Doubles,Ed Delahanty,Washington,43.0,,1902
Hits,Charlie Hickman,Boston,193.0,,1902
Hits,Charlie Hickman,Cleveland,193.0,,1902
Home Runs,Socks Seybold,Philadelphia,16.0,,1902
On Base Percentage,Ed Delahanty,Washington,0.453,,1902
RBI,Buck Freeman,Boston,121.0,,1902
Runs,Dave Fultz,Philadelphia,109.0,,1902
Runs,Topsy Hartsel,Philadelphia,109.0,,1902
Slugging Average,Ed Delahanty,Washington,0.59,,1902
Stolen Bases,Topsy Hartsel,Philadelphia,47.0,,1902
Total Bases,Charlie Hickman,Boston,288.0,,1902
Total Bases,Charlie Hickman,Cleveland,288.0,,1902
Triples,Jimmy Williams,Baltimore,21.0,,1902
1902 A.L. History | 1902 N.L. History | Year-by-Year History,1902 A.L. History | 1902 N.L. History | Year-by-Year History,1902 A.L. History | 1902 N.L. History | Year-by-Year History,,,1902
Complete Games,Cy Young,Boston,41.0,,1902
ERA,Ed Siever,Detroit,1.91,,1902
Games,Cy Young,Boston,45.0,,1902
Saves,Jack Powell,St. Louis,2.0,,1902
Shutouts,Addie Joss,Cleveland,5.0,,1902
Strikeouts,Rube Waddell,Philadelphia,210.0,,1902
Winning Percentage,Bill Bernhard,Philadelphia,0.783,,1902
Winning Percentage,Bill Bernhard,Cleveland,0.783,,1902
Wins,Cy Young,Boston,32.0,,1902
1902 A.L. History | 1902 N.L. History | Year-by-Year History,1902 A.L. History | 1902 N.L. History | Year-by-Year History,1902 A.L. History | 1902 N.L. History | Year-by-Year History,,,1902
1902 American League Team Standings,1902 American League Team Standings,1902 American League Team Standings,,,1902
Team | Roster,W,L,,,1902
Philadelphia Athletics,83,53,0.61,0.0,1902
St. Louis Browns,78,58,0.574,5.0,1902
Boston Americans,77,60,0.562,,1902
Chicago White Sox,74,60,0.552,8.0,1902
Cleveland Blues,69,67,0.507,14.0,1902
Washington Senators,61,75,0.449,22.0,1902
Detroit Tigers,52,83,0.385,,1902
Baltimore Orioles,50,88,0.362,34.0,1902
Team | Roster,W,L,,,1902
1902 American League Team Standings,1902 American League Team Standings,1902 American League Team Standings,,,1902
Base on Balls,Baltimore,417,,,1902
Batting Average,Cleveland,.289,,,1902
Doubles,Washington,261,,,1902
Hits,Cleveland,1401,,,1902
Home Runs,Washington,47,,,1902
On Base Percentage,Baltimore,.342,,,1902
Runs,Philadelphia,775,,,1902
Slugging Average,Washington,.395,,,1902
Stolen Bases,Chicago,265,,,1902
Triples,Baltimore,107,,,1902
Complete Games,Washington,130,,,1902
ERA,Boston,3.02,,,1902
Fewest Hits Allowed,Cleveland,1199,,,1902
Fewest Home Runs Allowed,Detroit,20,,,1902
Fewest Walks Allowed,Washington,312,,,1902
Saves,Cleveland,3,,,1902
Saves,Detroit,3,,,1902
Shutouts,Cleveland,16,,,1902
Strikeouts,Philadelphia,455,,,1902
Base on Balls,Jimmy Barrett,Detroit,74.0,,1903
Batting Average,Nap Lajoie,Cleveland,0.344,,1903
Doubles,Socks Seybold,Philadelphia,45.0,,1903
Hits,Patsy Dougherty,Boston,195.0,,1903
Home Runs,Buck Freeman,Boston,13.0,,1903
On Base Percentage,Jimmy Barrett,Detroit,0.407,,1903
RBI,Buck Freeman,Boston,104.0,,1903
Runs,Patsy Dougherty,Boston,107.0,,1903
Slugging Average,Nap Lajoie,Cleveland,0.518,,1903
Stolen Bases,Harry Bay,Cleveland,45.0,,1903
Total Bases,Buck Freeman,Boston,281.0,,1903
Triples,Sam Crawford,Detroit,25.0,,1903
1903 A.L. History | 1903 N.L. History | Year-by-Year History,1903 A.L. History | 1903 N.L. History | Year-by-Year History,1903 A.L. History | 1903 N.L. History | Year-by-Year History,,,1903
Complete Games,Bill Donovan,Detroit,34.0,,1903
Complete Games,Rube Waddell,Philadelphia,34.0,,1903
Complete Games,Cy Young,Boston,34.0,,1903
ERA,Earl Moore,Cleveland,1.74,,1903
Games,Eddie Plank,Philadelphia,43.0,,1903
Saves,Bill Dinneen,Boston,2.0,,1903
Saves,George Mullin,Detroit,2.0,,1903
Saves,Al Orth,Washington,2.0,,1903
Saves,Jack Powell,St. Louis,2.0,,1903
Saves,Cy Young,Boston,2.0,,1903
Shutouts,Cy Young,Boston,7.0,,1903
Strikeouts,Rube Waddell,Philadelphia,302.0,,1903
Winning Percentage,Cy Young,Boston,0.757,,1903
Wins,Cy Young,Boston,28.0,,1903
1903 A.L. History | 1903 N.L. History | Year-by-Year History,1903 A.L. History | 1903 N.L. History | Year-by-Year History,1903 A.L. History | 1903 N.L. History | Year-by-Year History,,,1903
Team | Roster,W,L,,,1903
Boston Americans,91,47,0.659,0.0,1903
Philadelphia Athletics,75,60,0.556,,1903
Cleveland Blues,77,63,0.55,15.0,1903
New York Highlanders,72,62,0.537,17.0,1903
Detroit Tigers,65,71,0.478,25.0,1903
St. Louis Browns,65,74,0.468,,1903
Chicago White Sox,60,77,0.438,,1903
Washington Senators,43,94,0.314,,1903
Team | Roster,W,L,,,1903
1903 American League Team Standings,1903 American League Team Standings,1903 American League Team Standings,,,1903
Base on Balls,New York,332,,,1903
Batting Average,Boston,.272,,,1903
Doubles,Cleveland,231,,,1903
Hits,Boston,1336,,,1903
Home Runs,Boston,48,,,1903
On Base Percentage,Detroit,.318,,,1903
Runs,Boston,708,,,1903
Slugging Average,Boston,.392,,,1903
Stolen Bases,Chicago,180,,,1903
Triples,Boston,113,,,1903
Complete Games,Cleveland,125,,,1903
ERA,Boston,2.57,,,1903
Fewest Hits Allowed,Philadelphia,1124,,,1903
Fewest Home Runs Allowed,Cleveland,16,,,1903
Fewest Walks Allowed,St. Louis,237,,,1903
Saves,Boston,4,,,1903
Saves,Chicago,4,,,1903
Shutouts,Boston,20,,,1903
Shutouts,Cleveland,20,,,1903
Strikeouts,Philadelphia,728,,,1903
Base on Balls,Jimmy Barrett,Detroit,79.0,,1904
Batting Average,Nap Lajoie,Cleveland,0.376,,1904
Doubles,Nap Lajoie,Cleveland,49.0,,1904
Hits,Nap Lajoie,Cleveland,211.0,,1904
Home Runs,Harry Davis,Philadelphia,10.0,,1904
On Base Percentage,Nap Lajoie,Cleveland,0.413,,1904
RBI,Nap Lajoie,Cleveland,102.0,,1904
Runs,Patsy Dougherty,Boston,113.0,,1904
Runs,Patsy Dougherty,New York,113.0,,1904
Slugging Average,Nap Lajoie,Cleveland,0.552,,1904
Stolen Bases,Harry Bay,Cleveland,38.0,,1904
Stolen Bases,Elmer Flick,Cleveland,38.0,,1904
Total Bases,Nap Lajoie,Cleveland,305.0,,1904
Triples,Joe Cassidy,Washington,19.0,,1904
Triples,Buck Freeman,Boston,19.0,,1904
Triples,Chick Stahl,Boston,19.0,,1904
1904 A.L. History | 1904 N.L. History | Year-by-Year History,1904 A.L. History | 1904 N.L. History | Year-by-Year History,1904 A.L. History | 1904 N.L. History | Year-by-Year History,,,1904
Complete Games,Jack Chesbro,New York,48.0,,1904
ERA,Addie Joss,Cleveland,1.59,,1904
Games,Jack Chesbro,New York,55.0,,1904
Saves,Case Patten,Washington,3.0,,1904
Shutouts,Cy Young,Boston,10.0,,1904
Strikeouts,Rube Waddell,Philadelphia,349.0,,1904
Winning Percentage,Jack Chesbro,New York,0.774,,1904
Wins,Jack Chesbro,New York,41.0,,1904
1904 A.L. History | 1904 N.L. History | Year-by-Year History,1904 A.L. History | 1904 N.L. History | Year-by-Year History,1904 A.L. History | 1904 N.L. History | Year-by-Year History,,,1904
1904 American League Team Standings,1904 American League Team Standings,1904 American League Team Standings,,,1904
Team | Roster,W,L,,,1904
Boston Americans,95,59,0.617,0.0,1904
New York Highlanders,92,59,0.609,,1904
Chicago White Sox,89,65,0.578,6.0,1904
Cleveland Blues,86,65,0.57,,1904
Philadelphia Athletics,81,70,0.536,,1904
St. Louis Browns,65,87,0.428,29.0,1904
Detroit Tigers,62,90,0.408,32.0,1904
Washington Senators,38,113,0.252,,1904
Team | Roster,W,L,,,1904
1904 American League Team Standings,1904 American League Team Standings,1904 American League Team Standings,,,1904
Base on Balls,Chicago,373,,,1904
Batting Average,Cleveland,.260,,,1904
Doubles,Cleveland,225,,,1904
Hits,New York,1354,,,1904
Home Runs,Philadelphia,31,,,1904
On Base Percentage,Cleveland,.308,,,1904
Runs,Cleveland,647,,,1904
Slugging Average,Cleveland,.354,,,1904
Stolen Bases,Chicago,216,,,1904
Triples,Boston,105,,,1904
Complete Games,Boston,148,,,1904
ERA,Boston,2.12,,,1904
Fewest Hits Allowed,Philadelphia,1149,,,1904
Fewest Home Runs Allowed,Cleveland,10,,,1904
Fewest Walks Allowed,Boston,233,,,1904
Saves,Washington,4,,,1904
Shutouts,Chicago,26,,,1904
Shutouts,Philadelphia,26,,,1904
Strikeouts,Philadelphia,887,,,1904
Base on Balls,Topsy Hartsel,Philadelphia,121.0,,1905
Batting Average,Elmer Flick,Cleveland,0.308,,1905
Doubles,Harry Davis,Philadelphia,47.0,,1905
Hits,George Stone,St. Louis,187.0,,1905
Home Runs,Harry Davis,Philadelphia,8.0,,1905
On Base Percentage,Topsy Hartsel,Philadelphia,0.409,,1905
RBI,Harry Davis,Philadelphia,83.0,,1905
Runs,Harry Davis,Philadelphia,93.0,,1905
Slugging Average,Elmer Flick,Cleveland,0.462,,1905
Stolen Bases,Danny Hoffman,Philadelphia,46.0,,1905
Total Bases,George Stone,St. Louis,259.0,,1905
Triples,Elmer Flick,Cleveland,18.0,,1905
Complete Games,Harry Howell,St. Louis,35.0,,1905
Complete Games,George Mullin,Detroit,35.0,,1905
Complete Games,Eddie Plank,Philadelphia,35.0,,1905
ERA,Rube Waddell,Philadelphia,1.48,,1905
Games,Rube Waddell,Philadelphia,46.0,,1905
Saves,Jim Buchanan,St. Louis,2.0,,1905
Shutouts,Ed Killian,Detroit,8.0,,1905
Strikeouts,Rube Waddell,Philadelphia,287.0,,1905
Winning Percentage,Rube Waddell,Philadelphia,0.73,,1905
Wins,Rube Waddell,Philadelphia,27.0,,1905
1905 American League Team Standings,1905 American League Team Standings,1905 American League Team Standings,,,1905
Team [Click for roster],Wins,Losses,,,1905
Philadelphia Athletics,92,56,0.622,0.0,1905
Chicago White Sox,92,60,0.605,2.0,1905
Detroit Tigers,79,74,0.516,,1905
Boston Americans,78,74,0.513,16.0,1905
Cleveland Naps,76,78,0.494,19.0,1905
New York Highlanders,71,78,0.477,,1905
Washington Senators,64,87,0.424,,1905
St. Louis Browns,54,99,0.353,,1905
Base on Balls,Boston,486,,,1905
Batting Average,Philadelphia,.255,,,1905
Doubles,Philadelphia,256,,,1905
Hits,Cleveland,1318,,,1905
Home Runs,Boston,29,,,1905
On Base Percentage,Philadelphia,.310,,,1905
Runs,Philadelphia,623,,,1905
Slugging Average,Philadelphia,.338,,,1905
Stolen Bases,New York,200,,,1905
Triples,Cleveland,72,,,1905
Complete Games,Cleveland,140,,,1905
ERA,Chicago,1.99,,,1905
Fewest Hits Allowed,Philadelphia,1137,,,1905
Fewest Home Runs Allowed,Chicago,11,,,1905
Fewest Home Runs Allowed,Detroit,11,,,1905
Fewest Walks Allowed,Boston,292,,,1905
Saves,New York,4,,,1905
Shutouts,Philadelphia,19,,,1905
Strikeouts,Philadelphia,895,,,1905
Base on Balls,Topsy Hartsel,Philadelphia,88.0,,1906
Batting Average,George Stone,St. Louis,0.358,,1906
Doubles,Nap Lajoie,Cleveland,48.0,,1906
Hits,Nap Lajoie,Cleveland,214.0,,1906
Home Runs,Harry Davis,Philadelphia,12.0,,1906
On Base Percentage,George Stone,St. Louis,0.417,,1906
RBI,Harry Davis,Philadelphia,96.0,,1906
Runs,Elmer Flick,Cleveland,98.0,,1906
Slugging Average,George Stone,St. Louis,0.501,,1906
Stolen Bases,John Anderson,Washington,39.0,,1906
Stolen Bases,Elmer Flick,Cleveland,39.0,,1906
Total Bases,George Stone,St. Louis,291.0,,1906
Triples,Elmer Flick,Cleveland,22.0,,1906
1906 A.L. History | 1906 N.L. History | Year-by-Year History,1906 A.L. History | 1906 N.L. History | Year-by-Year History,1906 A.L. History | 1906 N.L. History | Year-by-Year History,,,1906
Complete Games,Al Orth,New York,36.0,,1906
ERA,Doc White,Chicago,1.52,,1906
Games,Jack Chesbro,New York,49.0,,1906
Saves,Chief Bender,Philadelphia,3.0,,1906
Saves,Otto Hess,Cleveland,3.0,,1906
Shutouts,Ed Walsh,Chicago,10.0,,1906
Strikeouts,Rube Waddell,Philadelphia,196.0,,1906
Winning Percentage,Eddie Plank,Philadelphia,0.76,,1906
Wins,Al Orth,New York,27.0,,1906
1906 A.L. History | 1906 N.L. History | Year-by-Year History,1906 A.L. History | 1906 N.L. History | Year-by-Year History,1906 A.L. History | 1906 N.L. History | Year-by-Year History,,,1906
Team | Roster,W,L,,,1906
Chicago White Sox,93,58,0.616,0.0,1906
New York Highlanders,90,61,0.596,3.0,1906
Cleveland Naps,89,64,0.582,5.0,1906
Philadelphia Athletics,78,67,0.538,12.0,1906
St. Louis Browns,76,73,0.51,16.0,1906
Detroit Tigers,71,78,0.477,21.0,1906
Washington Senators,55,95,0.367,,1906
Boston Americans,49,105,0.318,,1906
Team | Roster,W,L,,,1906
1906 American League Team Standings,1906 American League Team Standings,1906 American League Team Standings,,,1906
Base on Balls,Chicago,453,,,1906
Batting Average,Cleveland,.279,,,1906
Doubles,Cleveland,240,,,1906
Hits,Cleveland,1514,,,1906
Home Runs,Philadelphia,32,,,1906
On Base Percentage,Cleveland,.325,,,1906
Runs,Cleveland,663,,,1906
Slugging Average,Cleveland,.357,,,1906
Stolen Bases,Washington,233,,,1906
Triples,New York,77,,,1906
Complete Games,Cleveland,133,,,1906
Complete Games,St. Louis,133,,,1906
ERA,Cleveland,2.09,,,1906
Fewest Hits Allowed,St. Louis,1132,,,1906
Fewest Home Runs Allowed,Philadelphia,9,,,1906
Fewest Walks Allowed,Chicago,255,,,1906
Saves,Boston,6,,,1906
Shutouts,Chicago,32,,,1906
Strikeouts,Philadelphia,749,,,1906
Base on Balls,Topsy Hartsel,Philadelphia,106.0,,1907
Batting Average,Ty Cobb,Detroit,0.35,,1907
Doubles,Harry Davis,Philadelphia,35.0,,1907
Hits,Ty Cobb,Detroit,212.0,,1907
Home Runs,Harry Davis,Philadelphia,8.0,,1907
On Base Percentage,Topsy Hartsel,Philadelphia,0.405,,1907
RBI,Ty Cobb,Detroit,119.0,,1907
Runs,Sam Crawford,Detroit,102.0,,1907
Slugging Average,Ty Cobb,Detroit,0.468,,1907
Stolen Bases,Ty Cobb,Detroit,49.0,,1907
Total Bases,Ty Cobb,Detroit,283.0,,1907
Triples,Elmer Flick,Cleveland,18.0,,1907
1907 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,1907 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,1907 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,,,1907
Complete Games,Ed Walsh,Chicago,37.0,,1907
ERA,Ed Walsh,Chicago,1.6,,1907
Games,Ed Walsh,Chicago,56.0,,1907
Saves,Bill Dinneen,Philadelphia,4.0,,1907
Saves,Bill Dinneen,St. Louis,4.0,,1907
Saves,Tom Hughes,Washington,4.0,,1907
Saves,Ed Walsh,Chicago,4.0,,1907
Shutouts,Eddie Plank,Philadelphia,8.0,,1907
Strikeouts,Rube Waddell,Philadelphia,232.0,,1907
Winning Percentage,Bill Donovan,Detroit,0.862,,1907
Wins,Addie Joss,Cleveland,27.0,,1907
Wins,Doc White,Chicago,27.0,,1907
1907 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,1907 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,1907 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,,,1907
Team | Roster,W,L,,,1907
Detroit Tigers,92,58,0.613,0.0,1907
Philadelphia Athletics,88,57,0.607,,1907
Chicago White Sox,87,64,0.576,,1907
Cleveland Naps,85,67,0.559,8.0,1907
New York Highlanders,70,78,0.473,21.0,1907
St. Louis Browns,69,83,0.454,24.0,1907
Boston Americans,59,90,0.396,,1907
Washington Senators,49,102,0.325,,1907
Team | Roster,W,L,,,1907
1907 American League Team Standings,1907 American League Team Standings,1907 American League Team Standings,,,1907
Base on Balls,Chicago,421,,,1907
Batting Average,Detroit,.266,,,1907
Doubles,Philadelphia,220,,,1907
Hits,Detroit,1383,,,1907
Home Runs,Philadelphia,22,,,1907
On Base Percentage,Detroit,.313,,,1907
Runs,Detroit,694,,,1907
Slugging Average,Detroit,.335,,,1907
Stolen Bases,Washington,223,,,1907
Triples,Detroit,75,,,1907
Complete Games,St. Louis,129,,,1907
ERA,Chicago,2.22,,,1907
Fewest Hits Allowed,Philadelphia,1106,,,1907
Fewest Home Runs Allowed,Cleveland,8,,,1907
Fewest Home Runs Allowed,Detroit,8,,,1907
Fewest Walks Allowed,Chicago,305,,,1907
Saves,Chicago,9,,,1907
Saves,St. Louis,9,,,1907
Shutouts,Philadelphia,27,,,1907
Strikeouts,Philadelphia,789,,,1907
Base on Balls,Topsy Hartsel,Philadelphia,93.0,,1908
Batting Average,Ty Cobb,Detroit,0.324,,1908
Doubles,Ty Cobb,Detroit,36.0,,1908
Hits,Ty Cobb,Detroit,188.0,,1908
Home Runs,Sam Crawford,Detroit,7.0,,1908
On Base Percentage,Doc Gessler,Boston,0.394,,1908
RBI,Ty Cobb,Detroit,108.0,,1908
Runs,Matty McIntyre,Detroit,105.0,,1908
Slugging Average,Ty Cobb,Detroit,0.476,,1908
Stolen Bases,Patsy Dougherty,Chicago,47.0,,1908
Total Bases,Ty Cobb,Detroit,276.0,,1908
Triples,Ty Cobb,Detroit,20.0,,1908
1908 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,1908 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,1908 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,,,1908
Complete Games,Ed Walsh,Chicago,42.0,,1908
ERA,Addie Joss,Cleveland,1.16,,1908
Games,Ed Walsh,Chicago,66.0,,1908
Saves,Ed Walsh,Chicago,6.0,,1908
Shutouts,Ed Walsh,Chicago,11.0,,1908
Strikeouts,Ed Walsh,Chicago,269.0,,1908
Winning Percentage,Ed Walsh,Chicago,0.727,,1908
Wins,Ed Walsh,Chicago,40.0,,1908
1908 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,1908 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,1908 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,,,1908
Team | Roster,W,L,,,1908
Detroit Tigers,90,63,0.588,0.0,1908
Cleveland Naps,90,64,0.584,,1908
Chicago White Sox,88,64,0.579,,1908
St. Louis Browns,83,69,0.546,,1908
Boston Red Sox,75,79,0.487,,1908
Philadelphia Athletics,68,85,0.444,22.0,1908
Washington Senators,67,85,0.441,,1908
New York Highlanders,51,103,0.331,,1908
Team | Roster,W,L,,,1908
1908 American League Team Standings,1908 American League Team Standings,1908 American League Team Standings,,,1908
Base on Balls,Chicago,463,,,1908
Batting Average,Detroit,.263,,,1908
Doubles,Detroit,199,,,1908
Hits,Detroit,1347,,,1908
Home Runs,Philadelphia,21,,,1908
On Base Percentage,Detroit,.312,,,1908
Runs,Detroit,647,,,1908
Slugging Average,Detroit,.347,,,1908
Stolen Bases,New York,231,,,1908
Triples,Boston,88,,,1908
Complete Games,Detroit,119,,,1908
ERA,Cleveland,2.02,,,1908
Fewest Hits Allowed,St. Louis,1151,,,1908
Fewest Home Runs Allowed,St. Louis,7,,,1908
Fewest Walks Allowed,Chicago,284,,,1908
Saves,Chicago,10,,,1908
Shutouts,Chicago,23,,,1908
Shutouts,Philadelphia,23,,,1908
Strikeouts,Philadelphia,741,,,1908
Base on Balls,Donie Bush,Detroit,88.0,,1909
Batting Average,Ty Cobb,Detroit,0.377,,1909
Doubles,Sam Crawford,Detroit,35.0,,1909
Hits,Ty Cobb,Detroit,216.0,,1909
Home Runs,Ty Cobb,Detroit,9.0,,1909
On Base Percentage,Ty Cobb,Detroit,0.431,,1909
RBI,Ty Cobb,Detroit,107.0,,1909
Runs,Ty Cobb,Detroit,116.0,,1909
Slugging Average,Ty Cobb,Detroit,0.517,,1909
Stolen Bases,Ty Cobb,Detroit,76.0,,1909
Total Bases,Ty Cobb,Detroit,296.0,,1909
Triples,Frank Baker,Philadelphia,19.0,,1909
1909 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,1909 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,1909 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,,,1909
Complete Games,Frank Smith,Chicago,37.0,,1909
ERA,Harry Krause,Philadelphia,1.39,,1909
Games,Frank Smith,Chicago,51.0,,1909
Saves,Frank Arellanes,Boston,8.0,,1909
Shutouts,Ed Walsh,Chicago,8.0,,1909
Strikeouts,Frank Smith,Chicago,177.0,,1909
Winning Percentage,George Mullin,Detroit,0.784,,1909
Wins,George Mullin,Detroit,29.0,,1909
1909 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,1909 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,1909 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,,,1909
Team | Roster,W,L,,,1909
Detroit Tigers,98,54,0.645,0.0,1909
Philadelphia Athletics,95,58,0.621,,1909
Boston Red Sox,88,63,0.583,,1909
Chicago White Sox,78,74,0.513,20.0,1909
New York Highlanders,74,77,0.49,,1909
Cleveland Naps,71,82,0.464,,1909
St. Louis Browns,61,89,0.407,36.0,1909
Washington Senators,42,110,0.276,56.0,1909
Team | Roster,W,L,,,1909
1909 American League Team Standings,1909 American League Team Standings,1909 American League Team Standings,,,1909
Base on Balls,Chicago,441,,,1909
Batting Average,Detroit,.267,,,1909
Doubles,Detroit,209,,,1909
Hits,Detroit,1360,,,1909
Home Runs,Philadelphia,21,,,1909
On Base Percentage,Detroit,.325,,,1909
Runs,Detroit,666,,,1909
Slugging Average,Philadelphia,.343,,,1909
Stolen Bases,Detroit,280,,,1909
Triples,Philadelphia,88,,,1909
Complete Games,Detroit,117,,,1909
ERA,Philadelphia,1.93,,,1909
Fewest Hits Allowed,Philadelphia,1069,,,1909
Fewest Home Runs Allowed,Chicago,8,,,1909
Fewest Walks Allowed,Chicago,340,,,1909
Saves,Boston,15,,,1909
Shutouts,Philadelphia,27,,,1909
Strikeouts,Philadelphia,728,,,1909
Base on Balls,Donie Bush,Detroit,78.0,,1910
Batting Average *,Nap Lajoie,Detroit,0.384,,1910
Doubles,Nap Lajoie,Cleveland,51.0,,1910
Hits,Nap Lajoie,Cleveland,227.0,,1910
Home Runs,Jake Stahl,Boston,10.0,,1910
On Base Percentage,Ty Cobb,Detroit,0.455,,1910
RBI,Sam Crawford,Detroit,120.0,,1910
Runs,Ty Cobb,Detroit,106.0,,1910
Slugging Average,Ty Cobb,Detroit,0.549,,1910
Stolen Bases,Eddie Collins,Philadelphia,81.0,,1910
Total Bases,Nap Lajoie,Cleveland,304.0,,1910
Triples,Sam Crawford,Detroit,19.0,,1910
1910 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,1910 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,1910 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,,,1910
Complete Games,Walter Johnson,Washington,38.0,,1910
ERA,Ed Walsh,Chicago,1.27,,1910
Games,Ed Walsh,Chicago,45.0,,1910
Games,Jack Coombs,Philadelphia,45.0,,1910
Games,Walter Johnson,Washington,45.0,,1910
Saves,Ed Walsh,Chicago,5.0,,1910
Shutouts,Jack Coombs,Philadelphia,13.0,,1910
Strikeouts,Walter Johnson,Washington,313.0,,1910
Winning Percentage,Chief Bender,Philadelphia,0.821,,1910
Wins,Jack Coombs,Philadelphia,31.0,,1910
1910 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,1910 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,1910 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,,,1910
Team | Roster,W,L,,,1910
Philadelphia Athletics,102,48,0.68,0.0,1910
New York Highlanders,88,63,0.583,,1910
Detroit Tigers,86,68,0.558,18.0,1910
Boston Red Sox,81,72,0.529,,1910
Cleveland Naps,71,81,0.467,32.0,1910
Chicago White Sox,68,85,0.444,,1910
Washington Senators,66,85,0.437,,1910
St. Louis Browns,47,107,0.305,57.0,1910
Team | Roster,W,L,,,1910
1910 American League Team Standings,1910 American League Team Standings,1910 American League Team Standings,,,1910
Base on Balls,New York,464,,,1910
Batting Average,Philadelphia,.266,,,1910
Doubles,Philadelphia,191,,,1910
Hits,Philadelphia,1373,,,1910
Home Runs,Boston,43,,,1910
On Base Percentage,Detroit,.329,,,1910
Runs,Detroit,679,,,1910
